version,N,BS,threads,repeats,avg_time_s,best_time_s,GFLOPS,max_abs_error
naive,128,32,1,5,0.00022735999991709832,0.00015720000010333024,18.447853630934897,0.0
transposed,128,32,1,5,0.00015742000005047885,0.00011580000000321888,26.644035056886292,0.0
blocked,128,16,1,5,0.006483900000057474,0.003986000000168133,0.6468798099851666,1.52587890625e-05
blocked,128,32,1,5,0.0016561000001274807,0.0012238999997862265,2.532639333178635,1.71661376953125e-05
blocked,128,64,1,5,0.0003450999998676707,0.00028190000011818483,12.15388003943296,1.71661376953125e-05
openmp,128,32,1,5,0.0009160600000541308,0.00014349999992191442,4.578634586983554,0.0
blocked_openmp,128,32,1,5,0.0010791400000016438,0.0005996999998387764,3.886709787417398,1.71661376953125e-05
openmp,128,32,2,5,0.00016942000002018176,0.0001428999999006919,24.75684098394737,0.0
blocked_openmp,128,32,2,5,0.00154339999990043,0.0006321999999272521,2.717574187035499,1.71661376953125e-05
openmp,128,32,4,5,0.0008137200000419397,0.0001712000002953573,5.154480656471295,0.0
blocked_openmp,128,32,4,5,0.001860080000005837,0.0011297999999442254,2.2549051653621555,1.71661376953125e-05
openmp,128,32,8,5,0.0005841799999871001,0.00015970000004017493,7.179814440913108,0.0
blocked_openmp,128,32,8,5,0.0012320400000135124,0.0006664000002274406,3.4043570013587217,1.71661376953125e-05
naive,256,32,1,5,0.0014727000000675616,0.0003081999998357787,22.784295510600025,0.0
transposed,256,32,1,5,0.001586459999998624,0.0004552000000330736,21.15050615838351,0.0
blocked,256,16,1,5,0.06590706000015416,0.059959900000194466,0.5091174147340439,4.57763671875e-05
blocked,256,32,1,5,0.01284295999994356,0.008429200000136916,2.612671222221938,4.57763671875e-05
blocked,256,64,1,5,0.003733580000243819,0.002612500000395812,8.987200487952245,4.57763671875e-05
openmp,256,32,1,5,0.0005031400000007124,0.0004490999999688938,66.69005048287254,0.0
blocked_openmp,256,32,1,5,0.013104359999942972,0.011286500000096567,2.560554807723996,4.57763671875e-05
openmp,256,32,2,5,0.0005407999999988533,0.0003919000000678352,62.04591715989487,0.0
blocked_openmp,256,32,2,5,0.014140000000043073,0.011592400000154157,2.3730149929206354,4.57763671875e-05
openmp,256,32,4,5,0.0005164399999557645,0.00043089999962830916,64.97256603453275,0.0
blocked_openmp,256,32,4,5,0.014560960000017076,0.012314799999785464,2.304410698193021,4.57763671875e-05
openmp,256,32,8,5,0.0010183200000028591,0.0004432999999153253,32.950773823460004,0.0
blocked_openmp,256,32,8,5,0.012790959999892947,0.010705199999847537,2.6232927004916617,4.57763671875e-05
naive,512,32,1,5,0.008921279999867693,0.0030235999997785257,30.08934323370425,0.0
transposed,512,32,1,5,0.005734620000021095,0.0035233999997217325,46.80963272178671,0.0
blocked,512,16,1,5,0.49727884000012634,0.32376380000005156,0.5398087238136491,6.103515625e-05
blocked,512,32,1,5,0.07283046000002287,0.04390830000011192,3.6857580742990734,5.7220458984375e-05
blocked,512,64,1,5,0.019832879999921716,0.01856839999982185,13.53487017523726,6.103515625e-05
openmp,512,32,1,5,0.005810940000083064,0.003099399999882735,46.19484214191901,0.0
blocked_openmp,512,32,1,5,0.07044722000009643,0.060562300000128744,3.8104478217825,5.7220458984375e-05
openmp,512,32,2,5,0.0042572799999106795,0.0029612999996970757,63.05327721118459,0.0
blocked_openmp,512,32,2,5,0.06673818000008395,0.055030900000019756,4.022217207596346,5.7220458984375e-05
openmp,512,32,4,5,0.0054199000000153316,0.00408659999993688,49.527750696367214,0.0
blocked_openmp,512,32,4,5,0.05783973999987211,0.04333379999980025,4.6410211387636515,5.7220458984375e-05
openmp,512,32,8,5,0.0029346600000280886,0.0018617000000631378,91.4707175609545,0.0
blocked_openmp,512,32,8,5,0.0634649000000536,0.058291100000133156,4.229667989704125,5.7220458984375e-05
